ts_utc,ts_local,gen_biomass_mw,gen_coal_derived_gas_mw,gen_gas_mw,gen_geothermal_mw,gen_hard_coal_mw,gen_hydro_pumped_storage_consumption_mw,gen_hydro_pumped_storage_mw,gen_hydro_reservoir_mw,gen_hydro_run_of_river_mw,gen_lignite_mw,gen_oil_mw,gen_other_mw,gen_other_renewable_mw,gen_solar_mw,gen_waste_mw,gen_wind_offshore_mw,gen_wind_onshore_mw,gen_total_mw
2024-12-31T23:00Z,2025-01-01 00:00,3829.705,595.773,4692.858,33.082,2806.452,867.375,458.190,100.623,1350.245,3269.427,382.173,211.715,98.267,9.555,718.950,2502.170,32883.585,53942.770
2025-01-01T00:00Z,2025-01-01 01:00,3774.617,569.847,4327.962,33.252,2718.960,1100.285,144.220,49.888,1340.235,3739.250,382.178,211.575,98.343,9.545,721.380,2395.267,33528.857,54045.378
2025-01-01T01:00Z,2025-01-01 02:00,3749.725,538.155,4218.188,33.300,2716.963,2250.030,1.075,28.920,1324.795,3265.045,382.165,211.707,98.088,9.293,719.495,2614.137,33791.345,53702.395
2025-01-01T02:00Z,2025-01-01 03:00,3749.448,494.475,4279.880,33.593,2639.040,2645.000,96.992,17.250,1308.697,3226.438,382.163,211.585,93.595,9.412,715.275,1684.220,32901.542,51843.605
2025-01-01T03:00Z,2025-01-01 04:00,3723.822,474.123,4334.935,33.730,2583.097,4566.220,3.325,28.163,1302.765,3237.432,382.168,211.570,93.630,9.217,717.197,1327.737,33148.395,51611.307
2025-01-01T04:00Z,2025-01-01 05:00,3725.290,466.147,4465.212,33.565,2403.227,5162.405,0.000,10.850,1296.812,3223.700,382.165,211.522,95.793,9.095,720.475,1162.980,33611.195,51818.030
2025-01-01T05:00Z,2025-01-01 06:00,3762.065,465.858,4489.202,33.267,2268.110,4951.892,16.880,56.565,1308.275,3237.150,382.165,209.660,96.392,10.575,718.680,1036.890,35484.803,53576.538
2025-01-01T06:00Z,2025-01-01 07:00,3793.762,463.538,4439.260,32.307,1987.773,2843.028,95.022,155.162,1312.910,3251.190,382.173,209.553,96.750,12.445,719.567,1309.912,36136.940,54398.265
2025-01-01T07:00Z,2025-01-01 08:00,3899.335,454.707,4092.595,31.742,1859.987,2260.863,56.597,117.688,1312.190,3241.105,382.173,209.480,96.642,723.555,716.597,2419.017,35709.268,55322.680
2025-01-01T08:00Z,2025-01-01 09:00,3908.088,460.380,4021.533,30.970,1828.202,4075.512,40.570,127.530,1337.652,3238.592,382.190,209.507,97.328,4054.283,720.350,2093.997,34633.128,57184.300
2025-01-01T09:00Z,2025-01-01 10:00,3833.245,498.308,3999.675,29.955,1844.347,5632.293,26.797,88.730,1362.070,3273.220,382.188,205.795,97.030,7921.698,719.903,2116.360,36185.438,62584.758
2025-01-01T10:00Z,2025-01-01 11:00,3842.137,537.960,3980.543,28.538,1849.865,5584.202,54.212,69.690,1381.988,3265.520,382.180,204.230,96.410,11159.882,719.023,1851.033,35969.425,65392.635
2025-01-01T11:00Z,2025-01-01 12:00,3791.520,542.435,3658.662,28.460,1848.588,5518.185,53.742,98.525,1399.027,3283.660,382.188,203.767,90.778,12122.542,712.217,2145.015,36697.088,67058.215
2025-01-01T12:00Z,2025-01-01 13:00,3766.812,526.988,3636.222,28.980,1849.447,5384.747,140.170,105.382,1393.770,3242.122,382.178,203.770,86.002,10670.075,716.460,2690.005,37676.435,67114.820
2025-01-01T13:00Z,2025-01-01 14:00,3774.465,485.322,3625.573,28.730,1835.787,5014.382,87.853,90.028,1358.152,3291.475,382.163,203.815,95.650,7056.845,715.513,3463.355,38653.910,65148.635
2025-01-01T14:00Z,2025-01-01 15:00,3821.758,515.543,3602.503,29.238,1833.543,3145.818,97.097,98.227,1337.620,3348.685,382.160,198.482,96.877,2781.540,715.278,4612.802,41343.917,64815.270
2025-01-01T15:00Z,2025-01-01 16:00,3982.625,568.247,3654.198,30.422,1934.325,1100.612,432.108,135.450,1339.935,3395.735,382.173,197.570,97.498,193.335,726.418,4720.448,41985.838,63776.322
2025-01-01T16:00Z,2025-01-01 17:00,4110.880,558.785,3703.912,30.803,2326.410,516.392,393.392,106.177,1346.987,3337.548,382.170,196.120,97.450,19.225,727.600,4809.927,43896.932,66044.320
