technology,installed_mw_2025,installed_mw_2026
biomass,8851.000,8855.900
coal_derived_gas,1915.000,1791.000
energy_storage,11009.000,14025.800
gas,36681.600,35678.000
geothermal,46.000,75.600
hard_coal,15951.000,15307.700
hydro_pumped_storage,9383.800,9401.800
hydro_reservoir,1459.800,1459.800
hydro_run_of_river,3923.000,4116.200
lignite,15178.000,14808.400
oil,6913.800,3929.700
other,2278.500,2030.500
other_renewable,399.700,329.200
solar,86951.600,104029.500
waste,1887.000,1952.600
wind_offshore,9215.000,9226.400
wind_onshore,63403.200,67922.900
